Genotype/condition	Sample Number	Timepoint	CellNumber	FibrilTool Angle	Comparison Angle	Raw angle	Absolute angle	Acute absolute angle to ablation	Anisotropy
GFP-MBD	1	1	1	125.7623	174.3573	-48.5951	48.5951	48.5951	0.0683
GFP-MBD	1	1	2	66.8964	37.6498	29.2467	29.2467	29.2467	0.0835
GFP-MBD	1	1	3	68.6307	90.4348	-21.8041	21.8041	21.8041	0.0622
GFP-MBD	1	1	4	42.1086	0.05191	42.0567	42.0567	42.0567	0.1157
GFP-MBD	1	1	5	100.8949	154.198	-53.3031	53.3031	53.3031	0.0525
GFP-MBD	1	1	6	167.9555	0.5961	167.3594	167.3594	12.6406	0.0613
GFP-MBD	1	1	7	160.1034	35.5109	124.5925	124.5925	55.4075	0.0618
GFP-MBD	1	1	8	58.1757	85.8458	-27.6701	27.6701	27.6701	0.1082
GFP-MBD	1	1	9	138.9239	4.1683	134.7557	134.7557	45.2443	0.1492
GFP-MBD	1	2	1	163.0202	174.3573	-11.3372	11.3372	11.3372	0.0571
GFP-MBD	1	2	2	66.7075	37.6498	29.0577	29.0577	29.0577	0.0785
GFP-MBD	1	2	3	62.2163	90.4348	-28.2185	28.2185	28.2185	0.0926
GFP-MBD	1	2	4	23.9377	0.05191	23.8858	23.8858	23.8858	0.1414
GFP-MBD	1	2	5	121.5877	152.3425	-30.7548	30.7548	30.7548	0.0399
GFP-MBD	1	2	6	174.9824	0.5961	174.3863	174.3863	5.6137	0.0533
GFP-MBD	1	2	7	2.31	35.5109	-33.2009	33.2009	33.2009	0.092
GFP-MBD	1	2	8	44.5651	85.8458	-41.2808	41.2808	41.2808	0.06
GFP-MBD	1	2	9	143.0498	4.1683	138.8816	138.8816	41.1184	0.1078
GFP-MBD	1	3	1	175.8491	174.3573	1.4917	1.4917	1.4917	0.0786
GFP-MBD	1	3	2	67.964	35.9188	32.0453	32.0453	32.0453	0.0532
GFP-MBD	1	3	3	67.3464	91.2412	-23.8947	23.8947	23.8947	0.1129
GFP-MBD	1	3	4	12.6729	0.5195	12.1534	12.1534	12.1534	0.1387
GFP-MBD	1	3	5	157.5701	152.3425	5.2277	5.2277	5.2277	0.018
GFP-MBD	1	3	6	178.3831	0.5961	177.787	177.787	2.213	0.0609
GFP-MBD	1	3	7	14.4748	35.5109	-21.036	21.036	21.036	0.0857
GFP-MBD	1	3	8	65.6568	87.8723	-22.2155	22.2155	22.2155	0.112
GFP-MBD	1	3	9	149.3148	4.1003	145.2145	145.2145	34.7855	0.1125
GFP-MBD	1	4	1	176.9921	174.3573	2.6347	2.6347	2.6347	0.1468
GFP-MBD	1	4	2	64.7402	35.9188	28.8215	28.8215	28.8215	0.0922
GFP-MBD	1	4	3	69.7451	91.2412	-21.496	21.496	21.496	0.134
GFP-MBD	1	4	4	14.4	0.5195	13.8805	13.8805	13.8805	0.1283
GFP-MBD	1	4	5	166.3582	149.598	16.7602	16.7602	16.7602	0.03
GFP-MBD	1	4	6	3.5276	0.5961	2.9315	2.9315	2.9315	0.1103
GFP-MBD	1	4	7	12.1109	35.5109	-23.4	23.4	23.4	0.1109
GFP-MBD	1	4	8	68.2593	87.8723	-19.613	19.613	19.613	0.1123
GFP-MBD	1	4	9	147.8111	4.1003	143.7108	143.7108	36.2892	0.1209
GFP-MBD	1	5	1	170.7808	174.2393	-3.4585	3.4585	3.4585	0.1585
GFP-MBD	1	5	2	59.4257	35.9188	23.5069	23.5069	23.5069	0.1035
GFP-MBD	1	5	3	70.8235	91.2412	-20.4176	20.4176	20.4176	0.1666
GFP-MBD	1	5	4	3.2051	0.5195	2.6856	2.6856	2.6856	0.1509
GFP-MBD	1	5	5	131.7245	149.598	-17.8735	17.8735	17.8735	0.0673
GFP-MBD	1	5	6	12.4884	0.7315	11.7569	11.7569	11.7569	0.097
GFP-MBD	1	5	7	27.0597	35.5109	-8.4512	8.4512	8.4512	0.1204
GFP-MBD	1	5	8	73.2832	87.8723	-14.5891	14.5891	14.5891	0.0897
GFP-MBD	1	5	9	148.801	4.1003	144.7007	144.7007	35.2993	0.1293
GFP-MBD	1	6	1	167.3283	174.2393	-6.911	6.911	6.911	0.1611
GFP-MBD	1	6	2	51.5318	35.9188	15.613	15.613	15.613	0.1866
GFP-MBD	1	6	3	76.1683	91.2412	-15.0728	15.0728	15.0728	0.1495
GFP-MBD	1	6	4	176.0063	0.5195	175.4868	175.4868	4.5132	0.1701
GFP-MBD	1	6	5	129.0363	149.598	-20.5617	20.5617	20.5617	0.0974
GFP-MBD	1	6	6	11.1542	0.7315	10.4227	10.4227	10.4227	0.1011
GFP-MBD	1	6	7	30.0261	35.5109	-5.4848	5.4848	5.4848	0.122
GFP-MBD	1	6	8	83.9456	87.8723	-3.9267	3.9267	3.9267	0.0923
GFP-MBD	1	6	9	151.744	4.1003	147.6437	147.6437	32.3563	0.105
GFP-MBD	1	7	1	165.4031	174.2393	-8.8361	8.8361	8.8361	0.1742
GFP-MBD	1	7	2	52.4687	35.9188	16.5499	16.5499	16.5499	0.1711
GFP-MBD	1	7	3	68.9721	91.2412	-22.2691	22.2691	22.2691	0.1339
GFP-MBD	1	7	4	177.4476	0.5195	176.9281	176.9281	3.0719	0.1796
GFP-MBD	1	7	5	138.2011	149.598	-11.397	11.397	11.397	0.0908
GFP-MBD	1	7	6	7.0759	0.7315	6.3444	6.3444	6.3444	0.1013
GFP-MBD	1	7	7	28.0236	35.5109	-7.4873	7.4873	7.4873	0.1459
GFP-MBD	1	7	8	74.3536	87.8723	-13.5187	13.5187	13.5187	0.1517
GFP-MBD	1	7	9	145.9239	4.1003	141.8236	141.8236	38.1764	0.0864
GFP-MBD	1	8	1	161.3055	174.2393	-12.9337	12.9337	12.9337	0.1618
GFP-MBD	1	8	2	49.455	35.9188	13.5362	13.5362	13.5362	0.15
GFP-MBD	1	8	3	67.6067	91.2412	-23.6345	23.6345	23.6345	0.1557
GFP-MBD	1	8	4	174.247	0.5195	173.7275	173.7275	6.2725	0.142
GFP-MBD	1	8	5	135.1178	149.598	-14.4802	14.4802	14.4802	0.0865
GFP-MBD	1	8	6	3.8439	0.7315	3.1125	3.1125	3.1125	0.1249
GFP-MBD	1	8	7	34.1679	35.5109	-1.343	1.343	1.343	0.1591
GFP-MBD	1	8	8	69.7772	87.8723	-18.0951	18.0951	18.0951	0.1662
GFP-MBD	1	8	9	143.7659	4.1003	139.6656	139.6656	40.3344	0.0526
GFP-MBD	1	9	1	159.6183	174.2393	-14.6209	14.6209	14.6209	0.1569
GFP-MBD	1	9	2	43.7009	34.9917	8.7092	8.7092	8.7092	0.1567
GFP-MBD	1	9	3	63.5552	91.2412	-27.686	27.686	27.686	0.1683
GFP-MBD	1	9	4	176.0931	0.5195	175.5736	175.5736	4.4264	0.1729
GFP-MBD	1	9	5	138.0137	149.598	-11.5843	11.5843	11.5843	0.0952
GFP-MBD	1	9	6	177.2645	0.7315	176.533	176.533	3.467	0.1496
GFP-MBD	1	9	7	29.5763	35.5109	-5.9346	5.9346	5.9346	0.1976
GFP-MBD	1	9	8	68.6607	87.8723	-19.2116	19.2116	19.2116	0.1469
GFP-MBD	1	9	9	177.9505	4.1003	173.8502	173.8502	6.1498	0.012
GFP-MBD	1	10	1	161.3696	174.2393	-12.8697	12.8697	12.8697	0.1667
GFP-MBD	1	10	2	35.118	34.9917	0.1263	0.1263	0.1263	0.1386
GFP-MBD	1	10	3	64.1231	91.2412	-27.118	27.118	27.118	0.1266
GFP-MBD	1	10	4	168.4373	0.5195	167.9178	167.9178	12.0822	0.1693
GFP-MBD	1	10	5	141.4273	149.598	-8.1707	8.1707	8.1707	0.1091
GFP-MBD	1	10	6	172.1766	0.7315	171.4451	171.4451	8.5549	0.1475
GFP-MBD	1	10	7	26.5146	35.5109	-8.9963	8.9963	8.9963	0.2003
GFP-MBD	1	10	8	67.1662	87.8723	-20.7061	20.7061	20.7061	0.1454
GFP-MBD	1	10	9	16.9325	4.1003	12.8321	12.8321	12.8321	0.0369
GFP-MBD	1	11	1	160.3984	174.2393	-13.8409	13.8409	13.8409	0.1693
GFP-MBD	1	11	2	34.3065	34.9917	-0.6851	0.6851	0.6851	0.1364
GFP-MBD	1	11	3	60.2183	91.2412	-31.0228	31.0228	31.0228	0.1451
GFP-MBD	1	11	4	171.6862	0.5195	171.1667	171.1667	8.8333	0.1907
GFP-MBD	1	11	5	138.5222	149.598	-11.0758	11.0758	11.0758	0.14
GFP-MBD	1	11	6	173.1777	0.7315	172.4462	172.4462	7.5538	0.1823
GFP-MBD	1	11	7	25.4537	35.5109	-10.0572	10.0572	10.0572	0.2115
GFP-MBD	1	11	8	57.5776	87.8723	-30.2947	30.2947	30.2947	0.1789
GFP-MBD	1	11	9	22.6891	4.1003	18.5887	18.5887	18.5887	0.0529
GFP-MBD	1	12	1	154.9629	174.2393	-19.2764	19.2764	19.2764	0.1616
GFP-MBD	1	12	2	28.3982	34.9917	-6.5935	6.5935	6.5935	0.1615
GFP-MBD	1	12	3	58.3669	91.2412	-32.8743	32.8743	32.8743	0.1904
GFP-MBD	1	12	4	168.5515	0.5195	168.032	168.032	11.968	0.1962
GFP-MBD	1	12	5	139.0231	149.598	-10.5749	10.5749	10.5749	0.1302
GFP-MBD	1	12	6	169.1554	0.7315	168.4239	168.4239	11.5761	0.1609
GFP-MBD	1	12	7	23.7123	35.5109	-11.7986	11.7986	11.7986	0.2046
GFP-MBD	1	12	8	53.2134	87.8723	-34.6589	34.6589	34.6589	0.1879
GFP-MBD	1	12	9	27.4203	4.1003	23.3199	23.3199	23.3199	0.113
GFP-MBD	1	13	1	151.7835	174.2393	-22.4557	22.4557	22.4557	0.1806
GFP-MBD	1	13	2	28.8121	34.9917	-6.1796	6.1796	6.1796	0.1562
GFP-MBD	1	13	3	58.4092	91.2412	-32.832	32.832	32.832	0.1853
GFP-MBD	1	13	4	164.6483	0.5195	164.1288	164.1288	15.8712	0.2001
GFP-MBD	1	13	5	134.7204	149.598	-14.8776	14.8776	14.8776	0.1634
GFP-MBD	1	13	6	164.6871	0.7315	163.9557	163.9557	16.0443	0.1759
GFP-MBD	1	13	7	18.3515	35.5109	-17.1594	17.1594	17.1594	0.1891
GFP-MBD	1	13	8	49.2287	87.8723	-38.6436	38.6436	38.6436	0.1985
GFP-MBD	1	13	9	31.189	4.1003	27.0886	27.0886	27.0886	0.1328
GFP-MBD	2	1	1	162.2763	90.0311	72.2452	72.2452	72.2452	0.12
GFP-MBD	2	1	2	34.401	10.6796	23.7214	23.7214	23.7214	0.1792
GFP-MBD	2	1	3	29.5178	179.8379	-150.3201	150.3201	29.6799	0.0984
GFP-MBD	2	1	4	34.1186	5.0914	29.0271	29.0271	29.0271	0.0598
GFP-MBD	2	1	5	76.1192	164.2872	-88.1681	88.1681	88.1681	0.0933
GFP-MBD	2	1	6	146.2944	161.463	-15.1686	15.1686	15.1686	0.1745
GFP-MBD	2	1	7	33.2394	87.6746	-54.4352	54.4352	54.4352	0.2526
GFP-MBD	2	1	8	45.6012	24.4843	21.1169	21.1169	21.1169	0.1182
GFP-MBD	2	1	9	63.6492	0.4106	63.2386	63.2386	63.2386	0.0486
GFP-MBD	2	1	10	28.3488	0.7257	27.6231	27.6231	27.6231	0.1266
GFP-MBD	2	1	11	167.639	153.0669	14.5721	14.5721	14.5721	0.2131
GFP-MBD	2	2	1	157.1125	90.0311	67.0814	67.0814	67.0814	0.0646
GFP-MBD	2	2	2	35.3461	10.6796	24.6665	24.6665	24.6665	0.1642
GFP-MBD	2	2	3	31.0854	179.8379	-148.7525	148.7525	31.2475	0.1204
GFP-MBD	2	2	4	37.6032	5.0914	32.5118	32.5118	32.5118	0.0935
GFP-MBD	2	2	5	65.1694	164.2872	-99.1179	99.1179	80.8821	0.0557
GFP-MBD	2	2	6	148.5721	161.463	-12.8909	12.8909	12.8909	0.1528
GFP-MBD	2	2	7	32.0764	87.6746	-55.5982	55.5982	55.5982	0.2348
GFP-MBD	2	2	8	36.1701	24.4843	11.6857	11.6857	11.6857	0.1699
GFP-MBD	2	2	9	28.9631	0.4106	28.5525	28.5525	28.5525	0.0333
GFP-MBD	2	2	10	27.3466	0.6473	26.6993	26.6993	26.6993	0.1133
GFP-MBD	2	2	11	165.6684	153.0669	12.6015	12.6015	12.6015	0.1935
GFP-MBD	2	3	1	136.5374	90.0311	46.5063	46.5063	46.5063	0.1371
GFP-MBD	2	3	2	31.7953	10.6796	21.1156	21.1156	21.1156	0.1578
GFP-MBD	2	3	3	24.362	179.8379	-155.4759	155.4759	24.5241	0.107
GFP-MBD	2	3	4	40.4491	5.0914	35.3577	35.3577	35.3577	0.1403
GFP-MBD	2	3	5	71.0342	164.2872	-93.2531	93.2531	86.7469	0.0297
GFP-MBD	2	3	6	148.1857	161.463	-13.2773	13.2773	13.2773	0.1826
GFP-MBD	2	3	7	25.8602	87.6746	-61.8144	61.8144	61.8144	0.1879
GFP-MBD	2	3	8	38.3715	24.4843	13.8872	13.8872	13.8872	0.2004
GFP-MBD	2	3	9	18.23	0.4106	17.8194	17.8194	17.8194	0.0282
GFP-MBD	2	3	10	25.7508	0.6473	25.1034	25.1034	25.1034	0.1317
GFP-MBD	2	3	11	158.6095	153.0669	5.5426	5.5426	5.5426	0.2097
GFP-MBD	2	4	1	142.0836	90.0311	52.0525	52.0525	52.0525	0.0722
GFP-MBD	2	4	2	27.0858	10.6796	16.4061	16.4061	16.4061	0.1657
GFP-MBD	2	4	3	27.2697	179.8379	-152.5682	152.5682	27.4318	0.1434
GFP-MBD	2	4	4	40.268	5.0914	35.1765	35.1765	35.1765	0.1234
GFP-MBD	2	4	5	7.5715	164.2872	-156.7157	156.7157	23.2843	0.0221
GFP-MBD	2	4	6	144.9914	161.463	-16.4716	16.4716	16.4716	0.2011
GFP-MBD	2	4	7	24.1423	87.6746	-63.5323	63.5323	63.5323	0.1635
GFP-MBD	2	4	8	33.5899	24.4843	9.1056	9.1056	9.1056	0.1983
GFP-MBD	2	4	9	32.9752	0.4106	32.5646	32.5646	32.5646	0.0219
GFP-MBD	2	4	10	19.1701	0.6473	18.5228	18.5228	18.5228	0.1469
GFP-MBD	2	4	11	153.7961	153.0669	0.7292	0.7292	0.7292	0.221
GFP-MBD	2	5	1	125.8925	90.0311	35.8614	35.8614	35.8614	0.1138
GFP-MBD	2	5	2	21.5028	10.6796	10.8232	10.8232	10.8232	0.121
GFP-MBD	2	5	3	25.0853	179.8379	-154.7525	154.7525	25.2475	0.0913
GFP-MBD	2	5	4	35.4521	5.0914	30.3607	30.3607	30.3607	0.1167
GFP-MBD	2	5	5	159.6479	164.2872	-4.6394	4.6394	4.6394	0.0613
GFP-MBD	2	5	6	139.4601	161.463	-22.0028	22.0028	22.0028	0.2024
GFP-MBD	2	5	7	24.381	87.6746	-63.2936	63.2936	63.2936	0.139
GFP-MBD	2	5	8	30.1643	24.4843	5.68	5.68	5.68	0.14
GFP-MBD	2	5	9	177.3542	0.4106	176.9436	176.9436	3.0564	0.0568
GFP-MBD	2	5	10	12.4542	0.6473	11.8069	11.8069	11.8069	0.1586
GFP-MBD	2	5	11	148.5165	153.0669	-4.5504	4.5504	4.5504	0.2242
GFP-MBD	2	6	1	125.3499	90.0311	35.3188	35.3188	35.3188	0.0711
GFP-MBD	2	6	2	19.585	10.6796	8.9054	8.9054	8.9054	0.1441
GFP-MBD	2	6	3	12.013	179.8379	-167.8249	167.8249	12.1751	0.1399
GFP-MBD	2	6	4	25.8018	5.0914	20.7104	20.7104	20.7104	0.131
GFP-MBD	2	6	5	169.3769	164.2872	5.0896	5.0896	5.0896	0.0759
GFP-MBD	2	6	6	136.9072	161.463	-24.5558	24.5558	24.5558	0.2253
GFP-MBD	2	6	7	17.8464	87.6746	-69.8282	69.8282	69.8282	0.1505
GFP-MBD	2	6	8	27.1057	24.4843	2.6214	2.6214	2.6214	0.1681
GFP-MBD	2	6	9	13.5291	0.4106	13.1185	13.1185	13.1185	0.0658
GFP-MBD	2	6	10	5.1199	0.6473	4.4726	4.4726	4.4726	0.1569
GFP-MBD	2	6	11	145.004	153.0669	-8.0629	8.0629	8.0629	0.2399
GFP-MBD	2	7	1	125.2987	90.0311	35.2676	35.2676	35.2676	0.0844
GFP-MBD	2	7	2	19.1967	10.6796	8.5171	8.5171	8.5171	0.1536
GFP-MBD	2	7	3	8.3612	179.8379	-171.4767	171.4767	8.5233	0.1628
GFP-MBD	2	7	4	15.9925	5.0914	10.9011	10.9011	10.9011	0.1316
GFP-MBD	2	7	5	154.1104	164.2872	-10.1769	10.1769	10.1769	0.1153
GFP-MBD	2	7	6	134.4794	161.463	-26.9836	26.9836	26.9836	0.234
GFP-MBD	2	7	7	13.6843	87.6746	-73.9903	73.9903	73.9903	0.1799
GFP-MBD	2	7	8	24.2481	24.4843	-0.2362	0.2362	0.2362	0.1904
GFP-MBD	2	7	9	9.052	0.4106	8.6414	8.6414	8.6414	0.1099
GFP-MBD	2	7	10	177.3199	0.6473	176.6725	176.6725	3.3275	0.2198
GFP-MBD	2	7	11	143.4502	153.0669	-9.6167	9.6167	9.6167	0.2436
GFP-MBD	2	8	1	134.9692	90.0311	44.9381	44.9381	44.9381	0.0857
GFP-MBD	2	8	2	12.9342	10.6796	2.2545	2.2545	2.2545	0.1676
GFP-MBD	2	8	3	4.1428	179.8379	-175.6951	175.6951	4.3049	0.2002
GFP-MBD	2	8	4	11.136	5.0914	6.0446	6.0446	6.0446	0.1526
GFP-MBD	2	8	5	154.8622	162.4293	-7.5672	7.5672	7.5672	0.1366
GFP-MBD	2	8	6	131.0521	160.2663	-29.2143	29.2143	29.2143	0.213
GFP-MBD	2	8	7	7.6817	86.5908	-78.9091	78.9091	78.9091	0.1313
GFP-MBD	2	8	8	21.7208	26.072	-4.3513	4.3513	4.3513	0.1745
GFP-MBD	2	8	9	179.5865	0.2428	179.3437	179.3437	0.6563	0.1231
GFP-MBD	2	8	10	175.2831	0.7273	174.5559	174.5559	5.4441	0.212
GFP-MBD	2	8	11	141.0397	153.0669	-12.0272	12.0272	12.0272	0.285
GFP-MBD	2	9	1	117.1681	90.0311	27.137	27.137	27.137	0.1024
GFP-MBD	2	9	2	16.4767	10.6796	5.7971	5.7971	5.7971	0.1997
GFP-MBD	2	9	3	0.2468	179.8379	-179.5911	179.5911	0.4089	0.1831
GFP-MBD	2	9	4	3.7805	5.0914	-1.3109	1.3109	1.3109	0.1643
GFP-MBD	2	9	5	156.7094	162.4293	-5.7199	5.7199	5.7199	0.1943
GFP-MBD	2	9	6	132.7539	160.0177	-27.2638	27.2638	27.2638	0.2048
GFP-MBD	2	9	7	8.7516	86.3355	-77.5838	77.5838	77.5838	0.1299
GFP-MBD	2	9	8	15.4464	26.6703	-11.2239	11.2239	11.2239	0.2066
GFP-MBD	2	9	9	178.8559	0.3468	178.5091	178.5091	1.4909	0.1395
GFP-MBD	2	9	10	171.7816	0.7273	171.0544	171.0544	8.9456	0.2464
GFP-MBD	2	9	11	140.7006	153.0669	-12.3663	12.3663	12.3663	0.2786
GFP-MBD	2	10	1	125.5646	90.0311	35.5335	35.5335	35.5335	0.1401
GFP-MBD	2	10	2	14.4138	10.6796	3.7342	3.7342	3.7342	0.2299
GFP-MBD	2	10	3	177.1779	179.8379	-2.66	2.66	2.66	0.188
GFP-MBD	2	10	4	0.2953	5.0914	-4.7961	4.7961	4.7961	0.1527
GFP-MBD	2	10	5	158.2448	162.4293	-4.1845	4.1845	4.1845	0.1639
GFP-MBD	2	10	6	132.8254	160.0177	-27.1923	27.1923	27.1923	0.198
GFP-MBD	2	10	7	175.5765	86.3355	89.241	89.241	89.241	0.1481
GFP-MBD	2	10	8	15.6552	26.6703	-11.0151	11.0151	11.0151	0.1904
GFP-MBD	2	10	9	177.8105	0.3468	177.4637	177.4637	2.5363	0.1404
GFP-MBD	2	10	10	168.4057	0.7273	167.6784	167.6784	12.3216	0.2192
GFP-MBD	2	10	11	140.4798	153.0669	-12.5871	12.5871	12.5871	0.2811
GFP-MBD	2	11	1	123.8894	90.0311	33.8583	33.8583	33.8583	0.1235
GFP-MBD	2	11	2	10.6017	10.6796	-0.07799	0.07799	0.07799	0.1992
GFP-MBD	2	11	3	174.8983	179.8379	-4.9396	4.9396	4.9396	0.2127
GFP-MBD	2	11	4	175.1452	5.3784	169.7669	169.7669	10.2331	0.176
GFP-MBD	2	11	5	163.3108	160.7383	2.5725	2.5725	2.5725	0.1891
GFP-MBD	2	11	6	130.8045	159.4617	-28.6572	28.6572	28.6572	0.1852
GFP-MBD	2	11	7	170.5283	86.0394	84.4889	84.4889	84.4889	0.1371
GFP-MBD	2	11	8	11.25	26.6703	-15.4203	15.4203	15.4203	0.1842
GFP-MBD	2	11	9	174.198	0.1805	174.0174	174.0174	5.9826	0.1538
GFP-MBD	2	11	10	169.357	0.7273	168.6297	168.6297	11.3703	0.2407
GFP-MBD	2	11	11	141.4917	152.7736	-11.2819	11.2819	11.2819	0.27
GFP-MBD	2	12	1	133.6273	90.7393	42.888	42.888	42.888	0.1512
GFP-MBD	2	12	2	9.2557	10.6796	-1.4239	1.4239	1.4239	0.2052
GFP-MBD	2	12	3	177.1734	179.8379	-2.6645	2.6645	2.6645	0.1953
GFP-MBD	2	12	4	177.889	5.3784	172.5107	172.5107	7.4893	0.163
GFP-MBD	2	12	5	163.5307	160.7383	2.7924	2.7924	2.7924	0.1622
GFP-MBD	2	12	6	126.9695	159.4617	-32.4922	32.4922	32.4922	0.1627
GFP-MBD	2	12	7	164.2312	86.0394	78.1918	78.1918	78.1918	0.133
GFP-MBD	2	12	8	11.3907	26.6703	-15.2796	15.2796	15.2796	0.163
GFP-MBD	2	12	9	178.3719	0.1805	178.1914	178.1914	1.8086	0.1711
GFP-MBD	2	12	10	168.1402	0.7273	167.4129	167.4129	12.5871	0.2151
GFP-MBD	2	12	11	143.5589	152.7736	-9.2147	9.2147	9.2147	0.259
GFP-MBD	2	13	1	122.2059	90.7393	31.4667	31.4667	31.4667	0.1448
GFP-MBD	2	13	2	10.9733	10.9503	0.02299	0.02299	0.02299	0.2188
GFP-MBD	2	13	3	177.2876	179.9552	-2.6675	2.6675	2.6675	0.2443
GFP-MBD	2	13	4	174.2871	5.3784	168.9088	168.9088	11.0912	0.1315
GFP-MBD	2	13	5	163.8156	160.7383	3.0773	3.0773	3.0773	0.2168
GFP-MBD	2	13	6	126.3659	159.4617	-33.0959	33.0959	33.0959	0.1565
GFP-MBD	2	13	7	161.939	86.0394	75.8997	75.8997	75.8997	0.1638
GFP-MBD	2	13	8	7.4922	28.8713	-21.3791	21.3791	21.3791	0.1794
GFP-MBD	2	13	9	175.6684	0.277	175.3913	175.3913	4.6087	0.1654
GFP-MBD	2	13	10	173.8718	0.7376	173.1342	173.1342	6.8658	0.238
GFP-MBD	2	13	11	145.3193	152.7736	-7.4543	7.4543	7.4543	0.2382
GFP-MBD	3	1	1	172.0325	167.0062	5.0263	5.0263	5.0263	0.1905
GFP-MBD	3	1	2	150.1386	170.0521	-19.9135	19.9135	19.9135	0.2315
GFP-MBD	3	1	3	167.7791	31.9572	135.822	135.822	44.178	0.1812
GFP-MBD	3	1	4	30.1443	91.1834	-61.0391	61.0391	61.0391	0.1693
GFP-MBD	3	1	5	17.1083	28.6475	-11.5392	11.5392	11.5392	0.2394
GFP-MBD	3	1	6	31.7666	32.2115	-0.4449	0.4449	0.4449	0.1994
GFP-MBD	3	1	7	90.4593	93.6726	-3.2132	3.2132	3.2132	0.2071
GFP-MBD	3	1	8	0.6793	39.8501	-39.1708	39.1708	39.1708	0.2163
GFP-MBD	3	1	9	59.4797	174.4997	-115.02	115.02	64.98	0.0648
GFP-MBD	3	1	10	9.4161	174.5404	-165.1243	165.1243	14.8757	0.2059
GFP-MBD	3	2	1	170.9103	167.0062	3.9041	3.9041	3.9041	0.1771
GFP-MBD	3	2	2	152.004	170.0521	-18.0481	18.0481	18.0481	0.2331
GFP-MBD	3	2	3	160.1666	31.9572	128.2094	128.2094	51.7906	0.1596
GFP-MBD	3	2	4	24.4173	91.1834	-66.7662	66.7662	66.7662	0.184
GFP-MBD	3	2	5	14.1941	29.2501	-15.056	15.056	15.056	0.2381
GFP-MBD	3	2	6	34.0673	32.2115	1.8557	1.8557	1.8557	0.2049
GFP-MBD	3	2	7	92.9511	93.6726	-0.7214	0.7214	0.7214	0.1539
GFP-MBD	3	2	8	176.9746	39.8501	137.1245	137.1245	42.8755	0.1751
GFP-MBD	3	2	9	61.5339	174.4997	-112.9658	112.9658	67.0342	0.0416
GFP-MBD	3	2	10	3.5764	174.5404	-170.9639	170.9639	9.0361	0.1811
GFP-MBD	3	3	1	169.741	167.0062	2.7348	2.7348	2.7348	0.1723
GFP-MBD	3	3	2	156.2035	170.0521	-13.8485	13.8485	13.8485	0.2306
GFP-MBD	3	3	3	157.7694	31.9572	125.8122	125.8122	54.1878	0.1637
GFP-MBD	3	3	4	27.5985	91.1834	-63.585	63.585	63.585	0.1749
GFP-MBD	3	3	5	14.1361	29.2501	-15.114	15.114	15.114	0.2455
GFP-MBD	3	3	6	31.4317	32.2115	-0.7798	0.7798	0.7798	0.2021
GFP-MBD	3	3	7	93.6747	93.6726	0.002138	0.002138	0.002138	0.1891
GFP-MBD	3	3	8	177.8592	39.8501	138.009	138.009	41.991	0.1713
GFP-MBD	3	3	9	36.139	174.4997	-138.3607	138.3607	41.6393	0.0316
GFP-MBD	3	3	10	179.1273	174.8762	4.2512	4.2512	4.2512	0.185
GFP-MBD	3	4	1	161.5309	167.0062	-5.4753	5.4753	5.4753	0.1833
GFP-MBD	3	4	2	154.5282	170.0521	-15.5239	15.5239	15.5239	0.2406
GFP-MBD	3	4	3	159.4007	31.9572	127.4435	127.4435	52.5565	0.1395
GFP-MBD	3	4	4	22.5485	91.1834	-68.6349	68.6349	68.6349	0.1731
GFP-MBD	3	4	5	12.621	29.2501	-16.6291	16.6291	16.6291	0.2478
GFP-MBD	3	4	6	31.7372	32.2115	-0.4743	0.4743	0.4743	0.2317
GFP-MBD	3	4	7	96.2968	93.6726	2.6242	2.6242	2.6242	0.175
GFP-MBD	3	4	8	178.7235	40.4862	138.2373	138.2373	41.7627	0.1587
GFP-MBD	3	4	9	37.2177	174.4997	-137.282	137.282	42.718	0.0588
GFP-MBD	3	4	10	171.3088	174.8762	-3.5674	3.5674	3.5674	0.1771
GFP-MBD	3	5	1	156.6939	166.8382	-10.1443	10.1443	10.1443	0.1802
GFP-MBD	3	5	2	152.0138	170.0521	-18.0383	18.0383	18.0383	0.2783
GFP-MBD	3	5	3	153.2328	32.9624	120.2704	120.2704	59.7296	0.1149
GFP-MBD	3	5	4	22.65	91.5721	-68.9221	68.9221	68.9221	0.1538
GFP-MBD	3	5	5	13.3773	28.4471	-15.0698	15.0698	15.0698	0.2185
GFP-MBD	3	5	6	32.1353	31.1303	1.005	1.005	1.005	0.2173
GFP-MBD	3	5	7	94.9901	93.6726	1.3175	1.3175	1.3175	0.1702
GFP-MBD	3	5	8	1.7993	40.4862	-38.6868	38.6868	38.6868	0.1471
GFP-MBD	3	5	9	29.252	173.9724	-144.7205	144.7205	35.2795	0.0789
GFP-MBD	3	5	10	168.9664	175.1298	-6.1634	6.1634	6.1634	0.1766
GFP-MBD	3	6	1	154.5243	168.7435	-14.2192	14.2192	14.2192	0.1877
GFP-MBD	3	6	2	153.1055	170.0754	-16.9699	16.9699	16.9699	0.2568
GFP-MBD	3	6	3	153.0877	32.9624	120.1253	120.1253	59.8747	0.146
GFP-MBD	3	6	4	24.2943	91.5456	-67.2512	67.2512	67.2512	0.1653
GFP-MBD	3	6	5	12.3464	28.4471	-16.1007	16.1007	16.1007	0.2189
GFP-MBD	3	6	6	30.9912	31.1303	-0.1391	0.1391	0.1391	0.2336
